Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ts1,Edge Chromium 114,,,2023-07-04 07:46:46,2023-07-04 07:47:25,39.085s,PASSED
,,,,,,,
Test Cases/Login/Doauto,Edge Chromium 114,,,2023-07-04 07:46:47,2023-07-04 07:46:57,10.455s,PASSED
"openBrowser("""")",Edge Chromium 114,,,2023-07-04 07:46:47,2023-07-04 07:46:50,2.611s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-07-04 07:46:50,2023-07-04 07:46:51,1.672s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-07-04 07:46:51,2023-07-04 07:46:53,1.999s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Customer Login""))",Edge Chromium 114,,,2023-07-04 07:46:53,2023-07-04 07:46:54,0.526s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Edge Chromium 114,,,2023-07-04 07:46:54,2023-07-04 07:46:56,1.739s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Login""))",Edge Chromium 114,,,2023-07-04 07:46:56,2023-07-04 07:46:56,0.500s,PASSED
closeBrowser(),Edge Chromium 114,,,2023-07-04 07:46:56,2023-07-04 07:46:57,0.962s,PASSED
,,,,,,,
Test Cases/Login/Example,Edge Chromium 114,,,2023-07-04 07:46:57,2023-07-04 07:47:07,10.197s,PASSED
"openBrowser(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-07-04 07:46:58,2023-07-04 07:47:02,3.352s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-07-04 07:47:02,2023-07-04 07:47:03,1.663s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Customer Login""))",Edge Chromium 114,,,2023-07-04 07:47:03,2023-07-04 07:47:04,0.473s,PASSED
maximizeWindow(),Edge Chromium 114,,,2023-07-04 07:47:04,2023-07-04 07:47:04,0.318s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Edge Chromium 114,,,2023-07-04 07:47:04,2023-07-04 07:47:05,1.364s,PASSED
"click(findTestObject(""Object Repository/Ẽample/Page_XYZ Bank/button_Login""))",Edge Chromium 114,,,2023-07-04 07:47:05,2023-07-04 07:47:06,0.412s,PASSED
closeBrowser(),Edge Chromium 114,,,2023-07-04 07:47:06,2023-07-04 07:47:07,1.420s,PASSED
,,,,,,,
Test Cases/Login/manager,Edge Chromium 114,,,2023-07-04 07:47:07,2023-07-04 07:47:25,18.108s,PASSED
"openBrowser("""")",Edge Chromium 114,,,2023-07-04 07:47:08,2023-07-04 07:47:09,1.455s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-07-04 07:47:09,2023-07-04 07:47:11,1.569s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-07-04 07:47:11,2023-07-04 07:47:12,1.452s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Bank Manager Login""))",Edge Chromium 114,,,2023-07-04 07:47:12,2023-07-04 07:47:13,0.461s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Add Customer""))",Edge Chromium 114,,,2023-07-04 07:47:13,2023-07-04 07:47:13,0.807s,PASSED
