Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LC,Chrome 114.0.0.0,,,2023-07-12 16:42:02,2023-07-12 16:45:18,3m - 16.322s,FAILED
,,,,,,,
Test Cases/LC/Searching,Chrome 114.0.0.0,,,2023-07-12 16:42:02,2023-07-12 16:43:56,1m - 53.238s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-12 16:42:03,2023-07-12 16:42:06,2.938s,PASSED
"navigateToUrl(""http://localhost:5173/"")",Chrome 114.0.0.0,,,2023-07-12 16:42:06,2023-07-12 16:42:07,1.411s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-12 16:42:07,2023-07-12 16:42:07,0.250s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/p_product (1)""))",Chrome 114.0.0.0,,,2023-07-12 16:42:07,2023-07-12 16:42:08,1.018s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:42:08,2023-07-12 16:42:13,5.040s,PASSED
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (3)""), ""Bún"")",Chrome 114.0.0.0,,,2023-07-12 16:42:13,2023-07-12 16:42:14,0.738s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/div_Local specialtys areasThe best offer th_178a87 (1)""))",Chrome 114.0.0.0,,,2023-07-12 16:42:14,2023-07-12 16:42:15,0.412s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-12 16:42:15,2023-07-12 16:42:18,3.010s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/button_2 (1)""))",Chrome 114.0.0.0,,,2023-07-12 16:42:18,2023-07-12 16:42:19,1.622s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-12 16:42:19,2023-07-12 16:42:22,3.014s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/button_3 (1)""))",Chrome 114.0.0.0,,,2023-07-12 16:42:22,2023-07-12 16:42:23,0.642s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-12 16:42:23,2023-07-12 16:42:26,3.012s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-12 16:42:26,2023-07-12 16:42:29,3.015s,PASSED
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (1)""), ""Bánh Tráng 73"")",Chrome 114.0.0.0,,,2023-07-12 16:42:29,2023-07-12 16:42:30,0.788s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:42:30,2023-07-12 16:42:35,5.015s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/span_Filter_chakra-radio__control css-vtg3j9""))",Chrome 114.0.0.0,,,2023-07-12 16:42:35,2023-07-12 16:42:35,0.549s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/span_Filter_chakra-radio__control css-vtg3j9""))",Chrome 114.0.0.0,,,2023-07-12 16:42:35,2023-07-12 16:42:38,3.020s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/label_More than 800.000""))",Chrome 114.0.0.0,,,2023-07-12 16:42:38,2023-07-12 16:42:39,0.541s,PASSED
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (1)""), ""@#$%^&*()"")",Chrome 114.0.0.0,,,2023-07-12 16:42:39,2023-07-12 16:42:42,3.569s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:42:42,2023-07-12 16:42:47,5.004s,PASSED
"verifyElementText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/ErrosSearchMessage""), ""There is no result found with keyword: @#$%^&*()"")",Chrome 114.0.0.0,,,2023-07-12 16:42:47,2023-07-12 16:42:48,0.381s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/div_Local specialtys areasThe best offer th_ff2b61""))",Chrome 114.0.0.0,,,2023-07-12 16:42:48,2023-07-12 16:42:48,0.437s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/span_Filter_chakra-radio__control css-vtg3j9""))",Chrome 114.0.0.0,,,2023-07-12 16:42:48,2023-07-12 16:42:49,0.420s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/span_Filter_chakra-radio__control css-vtg3j9""))",Chrome 114.0.0.0,,,2023-07-12 16:42:49,2023-07-12 16:42:52,3.021s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/label_More than 800.000""))",Chrome 114.0.0.0,,,2023-07-12 16:42:52,2023-07-12 16:42:52,0.546s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/div_Local specialtys areasThe best offer th_421523""))",Chrome 114.0.0.0,,,2023-07-12 16:42:52,2023-07-12 16:42:55,2.949s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/div_allKhMinhhonag""))",Chrome 114.0.0.0,,,2023-07-12 16:42:55,2023-07-12 16:42:56,0.491s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:42:56,2023-07-12 16:43:01,5.013s,PASSED
"setText(findTestObject(""Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (1)""), "" 76543"")",Chrome 114.0.0.0,,,2023-07-12 16:43:01,2023-07-12 16:43:01,0.741s,PASSED
